Time,Smoothed_X_Speed,x_control
0.0,-0.040174211300936236,20
0.04,-0.04190951439444479,20
0.08,-0.0415479757427617,20
0.12,-0.036108350148300605,20
0.16,-0.025923238617109323,20
0.2,-0.011949052150894701,20
0.24,0.006703896234916407,20
0.28,0.03139671210633521,20
0.32,0.06196082674018166,20
0.36,0.0969948200511106,20
0.4,0.1345123119538938,20
0.44,0.17176358075786657,20
0.48,0.20665562220056888,20
0.52,0.2403352357030153,20
0.56,0.27610776732652775,20
0.6,0.31448505730929943,20
0.64,0.35160526822342053,20
0.68,0.38447026209543766,20
0.72,0.4154972611772889,20
0.76,0.449031029008784,20
0.8,0.4849240754500994,20
0.84,0.5189301107846989,20
0.88,0.5490884925747896,20
0.92,0.57858479761278,20
0.96,0.611094435854187,20
1.0,0.645506575829824,0
1.04,0.6776529782520302,0
1.08,0.7057802494285448,0
1.12,0.7309880071260877,0
1.16,0.7529885240893652,0
1.2,0.7690602167993554,0
1.24,0.7775944433955573,0
1.28,0.7800214150397389,0
1.32,0.7783729046958676,0
1.36,0.7729271691440387,0
1.4,0.7636893039997317,0
1.44,0.7526700591678315,0
1.48,0.7425747835157648,0
1.52,0.7338729698920077,0
1.56,0.7249319809973176,0
1.6,0.7146717834778327,0
1.64,0.7039834986454108,0
1.68,0.6949498525250397,0
1.72,0.6889665379310683,0
1.76,0.6849637927391461,0
1.8,0.6797892451901155,0
1.84,0.6714839295819008,0
1.88,0.6620325740618604,0
1.92,0.6555838706270578,0
1.96,0.6535865806052865,0
2.0,0.6526873980756742,-20
2.04,0.6480128985969613,-20
2.08,0.6379019616404469,-20
2.12,0.6246710400044986,-20
2.16,0.610411132115235,-20
2.2,0.5926108563107935,-20
2.24,0.566029663290335,-20
2.28,0.5298587368716301,-20
2.32,0.4900739259035114,-20
2.36,0.4522337335676363,-20
2.4,0.41481195756942757,-20
2.44,0.3729718319059827,-20
2.48,0.32684981331116414,-20
2.52,0.28233732033565717,-20
2.56,0.2437855330783112,-20
2.6,0.2087462843732124,-20
2.64,0.17127967868237337,-20
2.68,0.12906966934552178,-20
2.72,0.08555575674598082,-20
2.76,0.04553541516023052,-20
2.8,0.010136085249107252,-20
2.84,-0.023896518766902686,-20
2.88,-0.06069459476038541,-20
2.92,-0.10104209148404375,-20
2.96,-0.1416496696285574,-20
3.0,-0.17884205024282784,0
3.04,-0.212182368190017,0
3.08,-0.24359419686930117,0
3.12,-0.27376769687700864,0
3.16,-0.30082822288848843,0
3.2,-0.3222317714124734,0
3.24,-0.3366871837741814,0
3.28,-0.3442908972036418,0
3.32,-0.346142700869001,0
3.36,-0.34436744152891996,0
3.4,-0.341577738222687,0
3.44,-0.33935897381896507,0
3.48,-0.3373980317282532,0
3.52,-0.33472975328158183,0
3.56,-0.33158992587108416,0
3.6,-0.32901317469268276,0
3.64,-0.32702037776481396,0
3.68,-0.3248826885706879,0
3.72,-0.3226775213430566,0
3.76,-0.32064304587219317,0
3.8,-0.3178262736682813,0
3.84,-0.3132976732880377,0
3.88,-0.30777891269331836,0
3.92,-0.30279258570738987,0
3.96,-0.2991156413275853,0
4.0,-0.296380707109023,20
4.04,-0.29316680865550393,20
4.08,-0.28749640307083046,20
4.12,-0.2778270196853616,20
4.16,-0.2634126552243099,20
4.2,-0.24389312076567582,20
4.24,-0.21920726028560877,20
4.28,-0.18980274690084675,20
4.32,-0.15648005108730434,20
4.36,-0.12016421612510153,20
4.4,-0.08195269414525419,20
4.44,-0.043143712618887164,20
4.48,-0.005008474562356868,20
4.52,0.03187946943697395,20
4.56,0.06846565327346954,20
4.6,0.1066166545459768,20
4.64,0.14665067251627972,20
4.68,0.1860348994769001,20
4.72,0.22182557734329866,20
4.76,0.2541878205762571,20
4.8,0.28644988166993124,20
4.84,0.3216922879161366,20
4.88,0.3597909798926324,20
4.92,0.39751155030421925,20
4.96,0.43127906002992655,20
5.0,0.46048290372573963,0
5.04,0.4881239188898767,0
5.08,0.5173665769510838,0
5.12,0.5475052553929716,0
5.16,0.5741255787920063,0
5.2,0.5928407908317224,0
5.24,0.6020770499672756,0
5.28,0.6032567691691193,0
5.32,0.5998671666691657,0
5.36,0.5957341105107261,0
5.4,0.5926265814806431,0
5.44,0.5895763126798126,0
5.48,0.5850123393476014,0
5.52,0.5789897151559809,0
5.56,0.5731141831077702,0
5.6,0.5689602704439689,0
5.64,0.5666968261206107,0
5.68,0.5647257565082303,0
5.72,0.5606545164714344,0
5.76,0.5533611606002131,0
5.8,0.5445237886851417,0
5.84,0.5375233899562099,0
5.88,0.5341978919816831,0
5.92,0.5329429945555963,0
5.96,0.5304646979309768,0
6.0,0.5252808173318496,-20
6.04,0.5189557320801536,-20
6.08,0.5133058013776809,-20
6.12,0.5066844392536185,-20
6.16,0.4944438111129462,-20
6.2,0.47363820349256014,-20
6.24,0.44589914252491925,-20
6.28,0.4147023116855636,-20
6.32,0.3811533689941471,-20
6.36,0.3440227358791209,-20
6.4,0.30313018241845957,-20
6.44,0.2609508071587635,-20
6.48,0.22074708056430414,-20
6.52,0.18391342639556274,-20
6.56,0.14913331754451142,-20
6.6,0.11367574742940922,-20
6.64,0.07565207348747272,-20
6.68,0.03556672306613273,-20
6.72,-0.004143213337570728,-20
6.76,-0.0414043760198074,-20
6.8,-0.07646104145857535,-20
6.84,-0.11129116028192054,-20
6.88,-0.14732571377826797,-20
6.92,-0.1844012684274421,-20
6.96,-0.2217099714898363,-20
7.0,-0.2587643856587746,0
7.04,-0.29516703768979746,0
7.08,-0.33001082000759796,0
7.12,-0.36183588531593647,0
7.16,-0.38903423769229006,0
7.2,-0.4102032849353454,0
7.24,-0.42443078922910493,0
7.28,-0.43185697539895596,0
7.32,-0.4341513518162754,0
7.36,-0.4338791257871427,0
7.4,-0.4329279576873707,0
7.44,-0.43173084771157,0
7.48,-0.4300709214944326,0
7.52,-0.4280597872276276,0
7.56,-0.4260387763868806,0
7.6,-0.42418889781289937,0
7.64,-0.42283395203008556,0
7.68,-0.42247503689150645,0
7.72,-0.4226000919139494,0
7.76,-0.4211215985253397,0
7.8,-0.41633945092494906,0
7.84,-0.40924968977020804,0
7.88,-0.40302056521621943,0
7.92,-0.40027201301095217,0
