Time,Smoothed_Y_Position
0.0,-1.9222377190472717
0.04,-1.9254488493208983
0.08,-1.9285807570593083
0.12,-1.9316536163871902
0.16,-1.9346282322341306
0.2,-1.9372332871200997
0.24,-1.9391021235050148
0.28,-1.9399930382528714
0.32,-1.939775194542821
0.36,-1.9383047017080979
0.4,-1.9354407575410066
0.44,-1.9311395038347423
0.48,-1.9254268805163526
0.52,-1.9182744488391712
0.56,-1.9095843036875064
0.6,-1.8993273813902452
0.64,-1.8876117687737932
0.68,-1.8745533981280516
0.72,-1.860159654338285
0.76,-1.8444057683348476
0.8,-1.8273264405756737
0.84,-1.8089365674753732
0.88,-1.789140047736183
0.92,-1.7678271614542633
0.96,-1.7450340951072287
1.0,-1.7209108167780214
1.04,-1.6955278966202922
1.08,-1.6688197194507222
1.12,-1.640766914331839
1.16,-1.6115447345647231
1.2,-1.5814399073329073
1.24,-1.5507098754679576
1.28,-1.5195711081604177
1.32,-1.4882352921347366
1.36,-1.456887836097874
1.4,-1.4256620773181317
1.44,-1.3946421116725554
1.48,-1.3638493346590261
1.52,-1.3332601719525419
1.56,-1.3028846262216778
1.6,-1.2727454934488454
1.64,-1.2427502898760543
1.68,-1.2127454193345455
1.72,-1.1827403125900784
1.76,-1.1528932233779652
1.8,-1.1232459527776864
1.84,-1.093656874436656
1.88,-1.0640140529928142
1.92,-1.034350424076888
1.96,-1.0047265609106144
2.0,-0.9751399059155448
2.04,-0.9456002701606576
2.08,-0.9161877866720273
2.12,-0.8869739524758122
2.16,-0.8579986758309148
2.2,-0.8294225204457056
2.24,-0.8016057351134711
2.28,-0.7749383132200467
2.32,-0.7496472955098027
2.36,-0.7257878993468192
2.4,-0.7033279022384574
2.44,-0.682229388629258
2.48,-0.6625177941184602
2.52,-0.6442591735023564
2.56,-0.6274483077523691
2.6,-0.6120021732204691
2.64,-0.5979148738355261
2.68,-0.5853277751281074
2.72,-0.5743660168836319
2.76,-0.5649699700503671
2.8,-0.556970140135988
2.84,-0.5502820504170051
2.88,-0.5449533815249421
2.92,-0.5410500465904748
2.96,-0.5385538613374865
3.0,-0.537384546182993
3.04,-0.5375196826901817
3.08,-0.5390361645054242
3.12,-0.5419639063829199
3.16,-0.5461626290212681
3.2,-0.5514103483718006
3.24,-0.5574998263073474
3.28,-0.5641835557328586
3.32,-0.5711674640149212
3.36,-0.578220045050977
3.4,-0.5852028895061508
3.44,-0.5920420850059729
3.48,-0.5987510176311952
3.52,-0.6053739893095986
3.56,-0.6118581511719692
3.6,-0.6181062872037312
3.64,-0.6241394014046142
3.68,-0.6300660117622513
3.72,-0.6359318731871768
3.76,-0.6417077478030581
3.8,-0.6473651066230338
3.84,-0.6528909647761477
3.88,-0.6582882357377859
3.92,-0.6636021048945444
3.96,-0.6688881218960296
4.0,-0.6741317100821684
4.04,-0.6792577758296414
4.08,-0.6842330339428228
4.12,-0.6890867004472835
4.16,-0.6938022198165347
4.2,-0.6982387221775219
4.24,-0.7021605472112881
4.28,-0.7052951915691759
4.32,-0.7073846238636337
4.36,-0.7082446513552981
4.4,-0.7077809264867265
4.44,-0.7059308407699421
4.48,-0.7026119649026569
4.52,-0.6977556503382439
4.56,-0.6913750521630222
4.6,-0.6835453086976572
4.64,-0.674299365705857
4.68,-0.6635950125896504
4.72,-0.6513986955563763
4.76,-0.6377404162343796
4.8,-0.6226716092848724
4.84,-0.606222014706509
4.88,-0.5884079505946095
4.92,-0.5692403997650602
4.96,-0.5487128200602994
5.0,-0.5268107853458169
5.04,-0.5035430531313219
5.08,-0.4789403649108964
5.12,-0.45302758989281644
5.16,-0.4258388565021885
5.2,-0.3974832396272147
5.24,-0.36818227303474693
5.28,-0.33822791423011483
5.32,-0.30790907388961625
5.36,-0.27747955235755206
5.4,-0.24714361098876383
5.44,-0.21699962629043115
5.48,-0.18700895121263128
5.52,-0.15708811058285066
5.56,-0.12723489709321162
5.6,-0.09752023123431565
5.64,-0.06797431560618954
5.68,-0.038555036196337836
5.72,-0.009250548591325732
5.76,0.019861657482384963
5.8,0.04871834112384791
5.84,0.07736808444408225
5.88,0.10588818182805249
5.92,0.13426911453148566
5.96,0.162463812179502
6.0,0.19048352989226736
6.04,0.21835841011712892
6.08,0.24605919440458443
6.12,0.2735347386310342
6.16,0.30076673792393976
6.2,0.32768725926767794
6.24,0.35406933519742334
6.28,0.379592686506882
6.32,0.40401029796333815
6.36,0.42717725929875977
6.4,0.4489493678704565
6.44,0.4691774248887244
6.48,0.4878129737231547
6.52,0.5049031464559208
6.56,0.520455074545767
6.6,0.53440189483496
6.64,0.5467200405443498
6.68,0.557490664882693
6.72,0.5668075059993585
6.76,0.5746691681733009
6.8,0.5810003258075082
6.84,0.5857719508714969
6.88,0.5890655359339168
6.92,0.5909880655010465
6.96,0.5915463000559832
7.0,0.5906706966326278
7.04,0.5883478405904977
7.08,0.5846189219616521
7.12,0.5794614441963376
7.16,0.5728482709167204
7.2,0.5649637518103418
7.24,0.5561982013623878
7.28,0.546881905023307
7.32,0.5371704663123857
7.36,0.5272023823714178
7.4,0.5171873014057962
7.44,0.5073020306671218
7.48,0.4976182087213639
7.52,0.4881265472142282
7.56,0.4787771623269465
7.6,0.4695496189361764
7.64,0.4604894100128799
7.68,0.45161828368810464
7.72,0.4428734590891361
7.76,0.43419552211249873
7.8,0.42557065491777984
7.84,0.41697600751466624
7.88,0.40844692765663637
7.92,0.4001411455900973
7.96,0.39211075461697675
