Time,Smoothed_YAW_Position,Smoothed_YAW_Speed,Smoothed_YAW_Control
0.0,-0.0590337660453351,-0.07287327179852937,100
0.04,-0.06194869691727627,-0.05796306761115134,100
0.08,-0.06426721962172233,-0.008423988069438532,100
0.12,-0.06460417914449987,0.09171978416877176,100
0.16,-0.060935387777749,0.2551297637920306,100
0.2,-0.05073019722606777,0.4834976439066869,100
0.24,-0.0313902914698003,0.7640934888345116,100
0.28,-0.000826551916419834,1.072453027794316,100
0.32,0.04207156919535281,1.3794453561448363,100
0.36,0.09724938344114627,1.659214264939254,100
0.4,0.16361795403871643,1.895021524600144,100
0.44,0.2394188150227222,2.0814388381302833,100
0.48,0.3226763685479335,2.2227856259522447,100
0.52,0.4115877935860233,2.3289031748335813,100
0.56,0.5047439205793666,2.4101161371680777,100
0.6,0.6011485660660897,2.4734411139758437,100
0.64,0.7000862106251234,2.521568764695023,100
0.68,0.8009489612129244,2.554792447870269,100
0.72,0.9031406591277351,2.5743186347065072,100
0.76,1.0061134045159954,2.5844145884243495,100
0.8,1.1094899880529694,2.591788033756015,100
0.84,1.21316150940321,2.602942380281209,100
0.88,1.3172792046144584,2.6216702330044694,100
0.92,1.4221460139346371,2.647906695055924,100
0.96,1.528062281736874,2.677300657764825,100
1.0,1.635154308047467,2.700486962999904,0
1.04,1.7431737865674632,2.702460480867197,0
1.08,1.8512722058021511,2.6637526655023667,0
1.12,1.9578223124222458,2.5646909902014845,0
1.16,2.060409952030305,2.3921112626271834,0
1.2,2.1560944025353925,2.1458591183138642,0
1.24,2.241928767267947,1.841712366050896,0
1.28,2.315597261909983,1.5087099035354656,0
1.32,2.3759456580514016,1.181560664988468,0
1.36,2.4232080846509403,0.8911362201912132,0
1.4,2.458853533458589,0.6568409610900661,0
1.44,2.4851271719021915,0.48368932852248525,0
1.48,2.504474745043091,0.36456404975527823,0
1.52,2.519057307033302,0.28561108978683025,0
1.56,2.530481750624775,0.23181870261855808,0
1.6,2.5397544987295175,0.19089174124542474,0
1.64,2.5473901683793345,0.15503708251436432,0
1.68,2.553591651679909,0.12098680998612332,0
1.72,2.558431124079354,0.0887733724553752,0
1.76,2.561982058977569,0.0600545514512274,0
1.8,2.564384241035618,0.036977342942712266,0
1.84,2.5658633347533266,0.021988414817675217,0
1.88,2.5667428713460336,0.017793086281536752,0
1.92,2.567454594797295,0.026135777310265507,0
1.96,2.5685000258897057,0.04501963389932362,0
2.0,2.5703008112456787,0.06559084326692721,-100
2.04,2.5729244449763558,0.07086518654718654,-100
2.08,2.575759052438243,0.03815519486451979,-100
2.12,2.577285260232824,-0.05453191323075979,-100
2.16,2.5751039837035936,-0.22023981148444616,-100
2.2,2.5662943912442158,-0.45688683463941393,-100
2.24,2.548018917858639,-0.7466197239168859,-100
2.28,2.5181541289019638,-1.0611707217015987,-100
2.32,2.4757073000339,-1.370385835518917,-100
2.36,2.420891866613143,-1.649988455481588,-100
2.4,2.3548923283938796,-1.886035451889978,-100
2.44,2.2794509103182805,-2.0755193183106035,-100
2.48,2.1964301375858564,-2.2236985165549727,-100
2.52,2.1074821969236575,-2.3393634206953284,-100
2.56,2.0139076600958443,-2.429959126567388,-100
2.6,1.9167092950331488,-2.49877074055036,-100
2.64,1.8167584654111344,-2.5455362788849576,-100
2.68,1.714937014255736,-2.5699570414953574,-100
2.72,1.6121387325959218,-2.5755592251563875,-100
2.76,1.5091163635896663,-2.57086501677774,-100
2.8,1.4062817629185567,-2.5667955086082492,-100
2.84,1.3036099425742267,-2.572211374959954,-100
2.88,1.2007214875758285,-2.5906808542200843,-100
2.92,1.0970942534070252,-2.619794734064787,-100
2.96,0.9923024640444337,-2.65177256727481,-100
3.0,0.8862315613534413,-2.67388839272184,0
3.04,0.7792760256445677,-2.669208045185073,0
3.08,0.6725077038371647,-2.619100915208672,0
3.12,0.5677436672288179,-2.5078476622412764,0
3.16,0.4674297607391668,-2.3280694966975863,0
3.2,0.37430698087126335,-2.084713203445891,0
3.24,0.2909184527334277,-1.795287706408203,0
3.28,0.21910694447709958,-1.4855985629319368,0
3.32,0.1596830019598221,-1.1827683967455458,0
3.36,0.11237226609000027,-0.9087996346997619,0
3.4,0.0760202807020098,-0.6771513040523708,0
3.44,0.04893422853991496,-0.49267201433791313,0
3.48,0.029227347966398438,-0.35354512874721766,0
3.52,0.01508554281650973,-0.25367037231755113,0
3.56,0.004938727923807685,-0.1847696322170867,0
3.6,-0.002452057364875783,-0.13830287473355454,0
3.64,-0.007984172354217965,-0.10718491528893749,0
3.68,-0.012271568965775465,-0.08668129892938267,0
3.72,-0.015738820922950772,-0.07391755786924271,0
3.76,-0.01869552323772048,-0.06652305521571665,0
3.8,-0.021356445446349147,-0.06186095683416541,0
3.84,-0.023830883719715763,-0.057726093829932754,0
3.88,-0.026139927472913074,-0.05358013450775826,0
3.92,-0.028283132853223404,-0.050406948407171956,0
