Time,Smoothed_Z_Position
0.0,1.0047255189372728
0.04,1.0036952103912846
0.08,1.003152271180931
0.12,1.0043066275237647
0.16,1.0091453576956502
0.2,1.0196117072076665
0.24,1.036571889915238
0.28,1.0593569665996065
0.32,1.0861787925865856
0.36,1.11505062753684
0.4,1.1445629185417536
0.44,1.1741191966979199
0.48,1.203697726664173
0.52,1.2334667098608139
0.56,1.2635270360750956
0.6,1.293854394277885
0.64,1.3243657062353722
0.68,1.3550056106277275
0.72,1.3857858502403226
0.76,1.4167585290576166
0.8,1.4479482326483208
0.84,1.4793039958525762
0.88,1.5107344649378727
0.92,1.542228675812344
0.96,1.573959840545836
1.0,1.6062076573631496
1.04,1.639015549745837
1.08,1.6717287101646081
1.12,1.7027761643293722
1.16,1.7300191494961417
1.2,1.7516096605942932
1.24,1.7668572613136633
1.28,1.7765177109674848
1.32,1.7823246227340976
1.36,1.7861317093941962
1.4,1.7892371379410388
1.44,1.7922062466728625
1.48,1.795099675639507
1.52,1.7978051342027512
1.56,1.800243763944966
1.6,1.8024118256394268
1.64,1.804341821994688
1.68,1.8060689352149206
1.72,1.8076248804450157
1.76,1.8090324310421484
1.8,1.810280831613435
1.84,1.811307079062477
1.88,1.81203457110572
1.92,1.8124821354871303
1.96,1.8128605762487537
2.0,1.813499545262676
2.04,1.814507343282425
2.08,1.8152941582809656
2.12,1.8143286070973155
2.16,1.8094718509763232
2.2,1.7988439330252612
2.24,1.7817121227654986
2.28,1.7588020027885876
2.32,1.731844556734768
2.36,1.7027210092999967
2.4,1.672774910293283
2.44,1.6426162510390887
2.48,1.612339760955382
2.52,1.5818614287844404
2.56,1.5511327555671113
2.6,1.5201773251835073
2.64,1.4890324585747017
2.68,1.4576998073268548
2.72,1.4261516040587259
2.76,1.3943775593495316
2.8,1.36243046308244
2.84,1.3304294935533434
2.88,1.2984944869864212
2.92,1.2666236485565279
2.96,1.234604707876162
3.0,1.2021142856096783
3.04,1.169094984645477
3.08,1.1362559597755906
3.12,1.105292097460586
3.16,1.0784677767596218
3.2,1.0576572942187674
3.24,1.0434293682189109
3.28,1.034810361619995
3.32,1.0298648386267033
3.36,1.0266403746131805
3.4,1.0238542588497639
3.44,1.0210215194849597
3.48,1.0181671614249277
3.52,1.0154600980964756
3.56,1.0130004088443716
3.6,1.0107846667292575
3.64,1.0087580994965681
3.68,1.0068704797097956
3.72,1.0051046453009034
3.76,1.003476159630754
3.8,1.0020110536835165
3.84,1.0007174362450169
3.88,0.9995718682714502
3.92,0.9985283162726857
3.96,0.9975346200217933
